Feature,Mean_ABS_SHAP
num__Age,0.4556899772058221
num__InterestRate,0.32562268106726117
num__MonthsEmployed,0.24085396322547717
num__Income,0.22184174336940832
num__LoanAmount,0.19528788930251664
num__CreditScore,0.07409694663534454
cat__EmploymentType_Full-time,0.06952391933633424
cat__HasCoSigner_No,0.06841268529916478
cat__HasDependents_Yes,0.062784657194932
num__NumCreditLines,0.05965927372145802
cat__EmploymentType_Unemployed,0.04738391909847451
cat__MaritalStatus_Married,0.03669012947176005
cat__LoanPurpose_Home,0.03213518359636933
num__DTIRatio,0.03185708648820833
cat__Education_High School,0.029893355823397322
cat__HasDependents_No,0.02308515730317592
cat__HasCoSigner_Yes,0.022994073778779482
cat__HasMortgage_Yes,0.021405124502117255
cat__HasMortgage_No,0.017803070956411097
cat__Education_PhD,0.01631265605614607
cat__Education_Bachelor's,0.01138483754077548
cat__MaritalStatus_Divorced,0.008557545528112422
cat__Education_Master's,0.0040697247592997345
cat__LoanPurpose_Business,0.0028702573376025308
cat__LoanPurpose_Auto,0.0005894805265813315
num__LoanTerm,0.00043907130769341087
cat__EmploymentType_Part-time,0.0
cat__MaritalStatus_Single,0.0
cat__EmploymentType_Self-employed,0.0
cat__LoanPurpose_Education,0.0
cat__LoanPurpose_Other,0.0
